name,cas,odor_descriptors
"(E)-2,5,9-trimethyl-4,9-decadien-1-al",32803-39-7,aldehydic animal citrus floral fruity powdery sweet waxy
"(E)-2,6-dimethyl-1,5,7-octatrien-3-ol",28977-58-4,camphoreous lime terpenic
(E)-2-butenoic acid,107-93-7,milky
(E)-2-decen-1-ol,18409-18-2,air citrus fresh rose rue waxy
(E)-2-decen-1-yl acetate,19487-61-7,fatty waxy
(E)-2-decenal,3913-81-3,aldehydic chicken chicken fat cilantro earthy fat fatty fried green mushroom tallow waxy
(E)-2-decenoic acid,334-49-6,fresh fruity oily sweet waxy
(E)-2-dodecen-1-ol,69064-37-5,fatty oily
(E)-2-dodecen-1-yl acetate,38363-23-4,fatty fresh
(E)-2-dodecenal,20407-84-5,aldehydic citrus mandarin metallic orange waxy
(E)-2-hepten-1-ol,33467-76-4,fatty green plastic pungent
(E)-2-hepten-1-yl acetate,16939-73-4,apple kiwi pine pineapple sweet tropical waxy
(E)-2-heptenal,18829-55-5,fatty fresh green pungent vegetable
(E)-2-heptenoic acid,10352-88-2,rancid
(E)-2-hexen-1-ol,928-95-0,banana fresh fruity green leafy ripe unripe
(E)-2-hexen-1-yl 2-methyl butyrate,94089-01-7,fruity
(E)-2-hexen-1-yl acetate,2497-18-9,apple apple skin banana banana peel fresh green peel privet skin sweet waxy
(E)-2-hexen-1-yl butyrate,53398-83-7,apricot banana cortex fermented fruity green orchid ripe
(E)-2-hexen-1-yl formate,53398-78-0,fruity green rum
(E)-2-hexen-1-yl hexanoate,53398-86-0,clean cognac green herbal natural waxy
(E)-2-hexen-1-yl isovalerate,68698-59-9,apple banana grape green pear waxy
(E)-2-hexen-1-yl octanoate,85554-72-9,pear
(E)-2-hexen-1-yl phenyl acetate,68133-78-8,green honey mossy rum
(E)-2-hexen-1-yl propionate,53398-80-4,apple banana banana unripe banana fruity green pear pulpy rhubarb ripe tropical unripe
(E)-2-hexen-1-yl salicylate,68133-77-7,floral green woody
(E)-2-hexen-1-yl valerate,56922-74-8,apple banana cognac fruity green pine pineapple
(E)-2-hexenal,6728-26-3,aldehydic banana cheesy fatty green leafy
(E)-2-hexenal diethyl acetal,67746-30-9,caraway celery dry fatty green pepper raw rooty spicy
(E)-2-hexenal dimethyl acetal,18318-83-7,apple fruity
(E)-2-hexenal glyceryl acetal,214220-85-6,fresh green
(E)-2-hexenal propylene glycol acetal,94089-21-1,apple fruity green mild
(E)-2-hexenoic acid,13419-69-7,fruity herbal powerful sweet warm
(E)-2-methyl-2-octenal,49576-57-0,fruity green
(E)-2-methyl-2-pentenoic acid,16957-70-3,berry fruity raw strawberry woody
(E)-2-nonen-1-ol,31502-14-4,green melon violet waxy
(E)-2-nonen-1-yl acetate,30418-89-4,carrot carrot seed citrus citrus rind earthy fatty fruity oily rind rue seed waxy
(E)-2-nonen-4-one,27743-70-0,fruity
(E)-2-nonenal,18829-56-6,aldehydic citrus cucumber fatty green
(E)-2-nonenoic acid,14812-03-4,fatty
(E)-2-octen-1-ol,18409-17-1,citrus fatty green vegetable
(E)-2-octen-1-yl acetate,3913-80-2,aldehydic earthy green melon pear tropical
(E)-2-octen-1-yl butyrate,84642-60-4,berry buttery fruity waxy
(E)-2-octen-4-ol,20125-81-9,berry fruity
(E)-2-octenal,2548-87-0,banana cucumber fatty fresh green herbal leaf waxy
(E)-2-octenoic acid,1871-67-6,aldehydic cheese dirty fatty musty sour vegetable waxy
(E)-2-penten-1-ol,1576-96-1,mushroom
(E)-2-pentenal,1576-87-0,apple fruity green orange pungent tomato
(E)-2-pentenoic acid,13991-37-2,acidic buttery cheese feta
(E)-2-phenyl-1(2)-propene-1-yl acetate,37973-51-6,honey hyacinth neroli sweet
(E)-2-tetradecenal,64461-99-0,citrus green pepper waxy
(E)-2-tridecen-1-ol,74962-98-4,cilantro citrus citrus rind clean cloth fatty laundered mild rind rue watery waxy
(E)-2-tridecen-1-yl acetate,68480-26-2,apple fruity pear waxy
(E)-2-tridecenal,7069-41-2,cilantro citrus citrus rind creamy fatty rind soapy tangerine watery waxy
(E)-2-undecen-1-ol,75039-84-8,floral fresh fruity rose waxy
(E)-2-undecen-1-yl acetate,68480-27-3,fresh rose waxy
(E)-2-undecenal,53448-07-0,citrus fresh fruity orange orange peel peel
"(E)-3,12-tridecadiene nitrile",124071-42-7,mandarin
"(E)-3-benzo[1,3]dioxol-5-yl-N,N-diphenyl-2-propenamide",1309389-73-8,cooling
(E)-3-hexen-1-ol,928-97-2,cortex earthy floral green leafy oily petal privet
(E)-3-hexen-1-yl acetate,3681-82-1,banana cortex fruity green hyacinth narcissus pear ripe rummy sharp unripe
(E)-3-hexen-1-yl crotonate,68938-58-9,and chemical dirty fresh green metallic slightly
(E)-3-hexenal,69112-21-6,apple fruity green natural
